NV Access,https://summerofcode.withgoogle.com/archive/2020/organizations/5653128168341504/,"python,c++,ui automation,iaccessible2,win32 api"
Open Bioinformatics Foundation (OBF),https://summerofcode.withgoogle.com/archive/2020/organizations/4595548239167488/,"python,javascript,c/c++"
Open Chemistry,https://summerofcode.withgoogle.com/archive/2020/organizations/5796522697949184/,"c/c++,python,javascript,opengl,html"
Open Genome Informatics,https://summerofcode.withgoogle.com/archive/2020/organizations/5089985813807104/,"neo4j,python,javascript,react,r-project"
Open Roberta,https://summerofcode.withgoogle.com/archive/2020/organizations/4541796253696000/,"java,javascript"
Open Source Robotics Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5551857973329920/,"ros,gazebo,c++,python"
OpenAstronomy,https://summerofcode.withgoogle.com/archive/2020/organizations/4577601315667968/,"python,julia,spark,numba,javascript"
OpenMRS,https://summerofcode.withgoogle.com/archive/2020/organizations/6119294959616000/,"java,javascript,spring,mysql,android"
OpenRefine,https://summerofcode.withgoogle.com/archive/2020/organizations/6727913602285568/,"java,javascript"
OpenStreetMap,https://summerofcode.withgoogle.com/archive/2020/organizations/5531645890789376/,"javascript,java,python,sql,docker"
openSUSE Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5703501222510592/,"linux,python,perl,rpm,javascript"
OpenWISP,https://summerofcode.withgoogle.com/archive/2020/organizations/4717183558483968/,"python,django,openwrt,javascript,lua"
Oppia Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/4686040649957376/,"angular,python,css,kotlin,webpack"
Orcasound,https://summerofcode.withgoogle.com/archive/2020/organizations/6216078121762816/,"elixir,react,javascript,python,raspberry pi"
OSGeo,https://summerofcode.withgoogle.com/archive/2020/organizations/5355444958134272/,"c/c++,python,sql,open source databases,java"
OWASP Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5260035782868992/,"python,javascript,.net,node.js"
PEcAn Project,https://summerofcode.withgoogle.com/archive/2020/organizations/4860868635918336/,"r,python,docker,postgresql,kubernetes"
Processing Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5988762313555968/,"python,android,opengl,java,javascript"
Python Software Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6706162411503616/,python
